N,K,T,reps,impl,time_s,gflop_per_s
2048,3,64,3,naive,0.099,2.29
2048,3,64,3,tiled,0.027,8.53
2048,3,64,3,advance,0.012,18.27
2048,5,64,3,naive,0.200,3.15
2048,5,64,3,tiled,0.055,11.34
2048,5,64,3,advance,0.029,21.75
2048,7,64,3,naive,0.469,2.63
2048,7,64,3,tiled,0.108,11.44
2048,7,64,3,advance,0.055,22.56
2048,9,64,3,naive,0.817,2.49
2048,9,64,3,tiled,0.169,12.04
2048,9,64,3,advance,0.071,28.64
2048,11,64,3,naive,1.378,2.21
2048,11,64,3,tiled,0.284,10.72
2048,11,64,3,advance,0.105,28.92
2048,15,64,3,naive,3.016,1.88
2048,15,64,3,tiled,0.523,10.83
2048,15,64,3,advance,0.186,30.43
2048,21,64,3,naive,6.504,1.71
2048,21,64,3,tiled,1.057,10.50
2048,21,64,3,advance,0.361,30.73
2048,31,64,3,naive,14.570,1.66
2048,31,64,3,tiled,2.376,10.18
2048,31,64,3,advance,0.742,32.61
