N,K,T,reps,impl,time_s,gflop_per_s
64,3,64,3,naive,0.000,2.21
64,3,64,3,tiled,0.002,0.14
64,3,64,3,advance,0.000,2.63
128,3,64,3,naive,0.000,2.29
128,3,64,3,tiled,0.001,1.19
128,3,64,3,advance,0.000,4.76
256,3,64,3,naive,0.002,2.18
256,3,64,3,tiled,0.001,3.21
256,3,64,3,advance,0.000,10.89
512,3,64,3,naive,0.006,2.29
512,3,64,3,tiled,0.002,6.27
512,3,64,3,advance,0.001,16.38
1024,3,64,3,naive,0.025,2.28
1024,3,64,3,tiled,0.007,8.25
1024,3,64,3,advance,0.003,18.96
2048,3,64,3,naive,0.102,2.22
2048,3,64,3,tiled,0.025,9.17
2048,3,64,3,advance,0.011,21.42
