N,K,T,reps,impl,time_s,gflop_per_s
1024,3,16,3,naive,0.030,1.87
1024,3,16,3,tiled,0.008,6.81
1024,3,16,3,advance,0.003,20.42
1024,3,24,3,naive,0.025,2.29
1024,3,24,3,tiled,0.007,8.12
1024,3,24,3,advance,0.003,20.16
1024,3,32,3,naive,0.025,2.27
1024,3,32,3,tiled,0.007,8.65
1024,3,32,3,advance,0.003,19.22
1024,3,48,3,naive,0.025,2.27
1024,3,48,3,tiled,0.007,8.27
1024,3,48,3,advance,0.003,19.90
1024,3,64,3,naive,0.025,2.23
1024,3,64,3,tiled,0.006,8.72
1024,3,64,3,advance,0.003,19.85
1024,3,80,3,naive,0.025,2.26
1024,3,80,3,tiled,0.007,8.14
1024,3,80,3,advance,0.003,17.90
1024,3,96,3,naive,0.025,2.30
1024,3,96,3,tiled,0.007,8.36
1024,3,96,3,advance,0.003,19.61
1024,3,112,3,naive,0.025,2.30
1024,3,112,3,tiled,0.007,8.08
1024,3,112,3,advance,0.003,18.88
1024,3,128,3,naive,0.063,0.90
1024,3,128,3,tiled,0.011,5.25
1024,3,128,3,advance,0.003,19.47
1024,3,160,3,naive,0.025,2.25
1024,3,160,3,tiled,0.007,8.18
1024,3,160,3,advance,0.003,19.35
1024,3,192,3,naive,0.025,2.28
1024,3,192,3,tiled,0.007,8.32
1024,3,192,3,advance,0.002,23.92
1024,3,224,3,naive,0.025,2.27
1024,3,224,3,tiled,0.007,8.49
1024,3,224,3,advance,0.003,18.42
1024,3,256,3,naive,0.025,2.27
1024,3,256,3,tiled,0.007,8.06
1024,3,256,3,advance,0.003,19.59
