N,T,reps,impl,time_s,gflop_per_s
64,64,3,naive,0.000,18.08
64,64,3,tiled,0.001,0.59
64,64,3,advance,0.000,1.61
128,64,3,naive,0.000,23.17
128,64,3,tiled,0.002,2.47
128,64,3,advance,0.001,4.10
256,64,3,naive,0.002,19.46
256,64,3,tiled,0.003,10.06
256,64,3,advance,0.003,12.31
512,64,3,naive,0.014,18.71
512,64,3,tiled,0.009,30.01
512,64,3,advance,0.009,28.83
1024,64,3,naive,0.121,17.78
1024,64,3,tiled,0.043,50.23
1024,64,3,advance,0.060,35.82
2048,64,3,naive,1.024,16.78
2048,64,3,tiled,0.290,59.23
2048,64,3,advance,0.382,44.95
