N,T,reps,impl,time_s,gflop_per_s
1024,16,3,naive,0.117,18.39
1024,16,3,tiled,0.082,26.21
1024,16,3,advance,0.048,44.82
1024,24,3,naive,0.118,18.22
1024,24,3,tiled,0.066,32.63
1024,24,3,advance,0.041,52.15
1024,32,3,naive,0.117,18.39
1024,32,3,tiled,0.056,38.24
1024,32,3,advance,0.042,50.86
1024,48,3,naive,0.119,18.00
1024,48,3,tiled,0.047,45.23
1024,48,3,advance,0.050,43.32
1024,64,3,naive,0.118,18.26
1024,64,3,tiled,0.041,52.42
1024,64,3,advance,0.056,38.14
1024,80,3,naive,0.119,18.05
1024,80,3,tiled,0.040,53.55
1024,80,3,advance,0.074,28.91
1024,96,3,naive,0.117,18.33
1024,96,3,tiled,0.039,54.52
1024,96,3,advance,0.095,22.72
1024,112,3,naive,0.117,18.38
1024,112,3,tiled,0.044,48.33
1024,112,3,advance,0.110,19.45
1024,128,3,naive,0.117,18.37
1024,128,3,tiled,0.042,51.11
1024,128,3,advance,0.123,17.45
1024,160,3,naive,0.117,18.29
1024,160,3,tiled,0.053,40.54
1024,160,3,advance,0.183,11.72
1024,192,3,naive,0.117,18.29
1024,192,3,tiled,0.060,36.04
1024,192,3,advance,0.253,8.47
1024,224,3,naive,0.118,18.20
1024,224,3,tiled,0.070,30.85
1024,224,3,advance,0.331,6.48
1024,256,3,naive,0.118,18.26
1024,256,3,tiled,0.080,26.79
1024,256,3,advance,0.415,5.17
