N,T,reps,impl,time_s,gflop_per_s
64,64,3,naive,0.000,3.38
64,64,3,tiled,0.001,1.58
64,64,3,advanced,0.000,14.30
128,64,3,naive,0.005,2.75
128,64,3,tiled,0.002,8.29
128,64,3,advanced,0.000,52.87
256,64,3,naive,0.065,1.55
256,64,3,tiled,0.007,14.20
256,64,3,advanced,0.001,134.22
512,64,3,naive,0.504,1.60
512,64,3,tiled,0.052,15.35
512,64,3,advanced,0.006,132.80
1024,64,3,naive,4.008,1.61
1024,64,3,tiled,0.466,13.82
1024,64,3,advanced,0.058,111.63
2048,64,3,naive,70.248,0.73
2048,64,3,tiled,3.855,13.37
2048,64,3,advanced,0.431,119.69
