N,T,reps,impl,time_s,gflop_per_s
1024,16,3,naive,4.010,1.61
1024,16,3,tiled,0.225,28.69
1024,16,3,advanced,0.053,122.33
1024,24,3,naive,4.040,1.59
1024,24,3,tiled,0.260,24.78
1024,24,3,advanced,0.049,132.03
1024,32,3,naive,4.113,1.57
1024,32,3,tiled,0.352,18.29
1024,32,3,advanced,0.055,117.29
1024,48,3,naive,4.010,1.61
1024,48,3,tiled,0.408,15.77
1024,48,3,advanced,0.053,122.15
1024,64,3,naive,4.010,1.61
1024,64,3,tiled,0.430,14.98
1024,64,3,advanced,0.054,118.79
1024,80,3,naive,4.011,1.61
1024,80,3,tiled,0.457,14.10
1024,80,3,advanced,0.053,120.52
1024,96,3,naive,4.022,1.60
1024,96,3,tiled,0.642,10.04
1024,96,3,advanced,0.056,114.33
1024,112,3,naive,4.008,1.61
1024,112,3,tiled,0.625,10.31
1024,112,3,advanced,0.052,124.12
1024,128,3,naive,4.014,1.61
1024,128,3,tiled,0.613,10.52
1024,128,3,advanced,0.056,114.48
1024,160,3,naive,4.008,1.61
1024,160,3,tiled,0.638,10.09
1024,160,3,advanced,0.050,130.01
1024,192,3,naive,4.012,1.61
1024,192,3,tiled,0.715,9.01
1024,192,3,advanced,0.050,127.95
1024,224,3,naive,4.012,1.61
1024,224,3,tiled,0.806,8.00
1024,224,3,advanced,0.059,108.48
1024,256,3,naive,4.013,1.61
1024,256,3,tiled,0.650,9.92
1024,256,3,advanced,0.050,128.89
