N,K,T,reps,impl,time_s,gflop_per_s
2048,3,64,3,naive,0.101,2.24
2048,3,64,3,tiled,0.102,2.22
2048,3,64,3,advance,0.038,5.98
2048,5,64,3,naive,0.200,3.14
2048,5,64,3,tiled,0.201,3.12
2048,5,64,3,advance,0.098,6.44
2048,7,64,3,naive,0.483,2.55
2048,7,64,3,tiled,0.483,2.55
2048,7,64,3,advance,0.179,6.87
2048,9,64,3,naive,0.824,2.48
2048,9,64,3,tiled,0.826,2.47
2048,9,64,3,advance,0.290,7.02
2048,11,64,3,naive,1.394,2.18
2048,11,64,3,tiled,1.409,2.16
2048,11,64,3,advance,0.428,7.12
2048,15,64,3,naive,3.092,1.83
2048,15,64,3,tiled,3.154,1.80
2048,15,64,3,advance,0.830,6.82
2048,21,64,3,naive,6.497,1.71
2048,21,64,3,tiled,6.511,1.70
2048,21,64,3,advance,1.612,6.88
2048,31,64,3,naive,14.621,1.65
2048,31,64,3,tiled,14.635,1.65
2048,31,64,3,advance,3.367,7.18
