N,K,T,reps,impl,time_s,gflop_per_s
64,3,64,3,naive,0.000,2.26
64,3,64,3,tiled,0.000,2.26
64,3,64,3,advance,0.000,5.98
128,3,64,3,naive,0.000,2.29
128,3,64,3,tiled,0.000,2.29
128,3,64,3,advance,0.000,6.10
256,3,64,3,naive,0.002,2.24
256,3,64,3,tiled,0.002,2.29
256,3,64,3,advance,0.001,6.02
512,3,64,3,naive,0.006,2.26
512,3,64,3,tiled,0.006,2.21
512,3,64,3,advance,0.002,6.15
1024,3,64,3,naive,0.026,2.21
1024,3,64,3,tiled,0.026,2.21
1024,3,64,3,advance,0.010,5.82
2048,3,64,3,naive,0.100,2.27
2048,3,64,3,tiled,0.101,2.25
2048,3,64,3,advance,0.037,6.04
