N,K,T,reps,impl,time_s,gflop_per_s
1024,3,16,3,naive,0.030,1.90
1024,3,16,3,tiled,0.026,2.16
1024,3,16,3,advance,0.010,5.91
1024,3,24,3,naive,0.025,2.31
1024,3,24,3,tiled,0.025,2.24
1024,3,24,3,advance,0.009,6.02
1024,3,32,3,naive,0.025,2.29
1024,3,32,3,tiled,0.025,2.25
1024,3,32,3,advance,0.010,5.93
1024,3,48,3,naive,0.024,2.32
1024,3,48,3,tiled,0.025,2.26
1024,3,48,3,advance,0.010,5.95
1024,3,64,3,naive,0.024,2.32
1024,3,64,3,tiled,0.026,2.20
1024,3,64,3,advance,0.009,6.03
1024,3,80,3,naive,0.025,2.31
1024,3,80,3,tiled,0.026,2.22
1024,3,80,3,advance,0.010,5.80
1024,3,96,3,naive,0.025,2.31
1024,3,96,3,tiled,0.025,2.23
1024,3,96,3,advance,0.010,5.86
1024,3,112,3,naive,0.024,2.31
1024,3,112,3,tiled,0.025,2.23
1024,3,112,3,advance,0.009,6.10
1024,3,128,3,naive,0.025,2.24
1024,3,128,3,tiled,0.026,2.20
1024,3,128,3,advance,0.009,6.11
1024,3,160,3,naive,0.025,2.29
1024,3,160,3,tiled,0.025,2.24
1024,3,160,3,advance,0.010,5.95
1024,3,192,3,naive,0.024,2.31
1024,3,192,3,tiled,0.025,2.24
1024,3,192,3,advance,0.009,6.06
1024,3,224,3,naive,0.024,2.32
1024,3,224,3,tiled,0.026,2.21
1024,3,224,3,advance,0.009,6.01
1024,3,256,3,naive,0.025,2.29
1024,3,256,3,tiled,0.025,2.23
1024,3,256,3,advance,0.009,6.15
