N,T,reps,impl,time_s,gflop_per_s
64,64,3,naive,0.000,3.77
64,64,3,tiled,0.000,3.52
64,64,3,advanced,0.000,36.58
128,64,3,naive,0.005,2.58
128,64,3,tiled,0.004,3.48
128,64,3,advanced,0.000,36.37
256,64,3,naive,0.063,1.59
256,64,3,tiled,0.029,3.46
256,64,3,advanced,0.003,37.01
512,64,3,naive,0.502,1.60
512,64,3,tiled,0.241,3.34
512,64,3,advanced,0.026,31.54
1024,64,3,naive,4.124,1.56
1024,64,3,tiled,2.335,2.76
1024,64,3,advanced,0.240,26.80
2048,64,3,naive,71.668,0.72
2048,64,3,tiled,22.151,2.33
2048,64,3,advanced,2.155,23.92
