N,T,reps,impl,time_s,gflop_per_s
64,64,3,naive,0.000,18.72
64,64,3,tiled,0.000,16.38
64,64,3,advance,0.000,14.98
128,64,3,naive,0.000,21.96
128,64,3,tiled,0.000,14.36
128,64,3,advance,0.001,7.96
256,64,3,naive,0.002,19.11
256,64,3,tiled,0.002,17.91
256,64,3,advance,0.003,10.58
512,64,3,naive,0.014,18.68
512,64,3,tiled,0.014,18.59
512,64,3,advance,0.019,14.48
1024,64,3,naive,0.121,17.80
1024,64,3,tiled,0.126,17.04
1024,64,3,advance,0.197,10.91
2048,64,3,naive,0.990,17.36
2048,64,3,tiled,1.202,14.29
2048,64,3,advance,1.578,10.89
