N,T,reps,impl,time_s,gflop_per_s
1024,16,3,naive,0.117,18.28
1024,16,3,tiled,0.244,8.80
1024,16,3,advance,0.088,24.47
1024,24,3,naive,0.119,18.05
1024,24,3,tiled,0.197,10.91
1024,24,3,advance,0.095,22.50
1024,32,3,naive,0.119,18.09
1024,32,3,tiled,0.179,12.01
1024,32,3,advance,0.109,19.71
1024,48,3,naive,0.116,18.45
1024,48,3,tiled,0.152,14.14
1024,48,3,advance,0.157,13.64
1024,64,3,naive,0.123,17.48
1024,64,3,tiled,0.129,16.66
1024,64,3,advance,0.194,11.07
1024,80,3,naive,0.120,17.87
1024,80,3,tiled,0.116,18.52
1024,80,3,advance,0.274,7.83
1024,96,3,naive,0.123,17.41
1024,96,3,tiled,0.114,18.90
1024,96,3,advance,0.346,6.21
1024,112,3,naive,0.121,17.72
1024,112,3,tiled,0.113,18.93
1024,112,3,advance,0.376,5.72
1024,128,3,naive,0.117,18.40
1024,128,3,tiled,0.106,20.33
1024,128,3,advance,0.420,5.11
1024,160,3,naive,0.118,18.27
1024,160,3,tiled,0.107,20.15
1024,160,3,advance,0.547,3.93
1024,192,3,naive,0.121,17.72
1024,192,3,tiled,0.115,18.73
1024,192,3,advance,0.681,3.15
1024,224,3,naive,0.123,17.46
1024,224,3,tiled,0.113,19.08
1024,224,3,advance,0.802,2.68
1024,256,3,naive,0.118,18.15
1024,256,3,tiled,0.109,19.79
1024,256,3,advance,0.827,2.60
