N,T,reps,impl,time_s,gflop_per_s
1024,16,3,naive,4.140,1.56
1024,16,3,tiled,1.238,5.20
1024,16,3,advanced,0.210,30.64
1024,24,3,naive,4.183,1.54
1024,24,3,tiled,1.310,4.92
1024,24,3,advanced,0.210,30.64
1024,32,3,naive,4.144,1.55
1024,32,3,tiled,1.607,4.01
1024,32,3,advanced,0.229,28.11
1024,48,3,naive,4.162,1.55
1024,48,3,tiled,2.055,3.14
1024,48,3,advanced,0.241,26.78
1024,64,3,naive,4.125,1.56
1024,64,3,tiled,2.336,2.76
1024,64,3,advanced,0.238,27.05
1024,80,3,naive,4.135,1.56
1024,80,3,tiled,2.652,2.43
1024,80,3,advanced,0.245,26.26
1024,96,3,naive,4.141,1.56
1024,96,3,tiled,2.795,2.31
1024,96,3,advanced,0.242,26.68
1024,112,3,naive,4.266,1.51
1024,112,3,tiled,3.004,2.14
1024,112,3,advanced,0.247,26.13
1024,128,3,naive,4.179,1.54
1024,128,3,tiled,3.027,2.13
1024,128,3,advanced,0.236,27.31
1024,160,3,naive,4.187,1.54
1024,160,3,tiled,3.022,2.13
1024,160,3,advanced,0.235,27.44
1024,192,3,naive,4.125,1.56
1024,192,3,tiled,3.120,2.06
1024,192,3,advanced,0.240,26.89
1024,224,3,naive,4.151,1.55
1024,224,3,tiled,3.145,2.05
1024,224,3,advanced,0.240,26.89
1024,256,3,naive,4.128,1.56
1024,256,3,tiled,3.257,1.98
1024,256,3,advanced,0.241,26.70
